id,original_title,director,revenue,type
6166.0,Dinner for One,Heinz Dunkhase,0.0,min revenue
6217.0,Cat People,Paul Schrader,0.0,min revenue
6277.0,Crime Spree,Brad Mirman,0.0,min revenue
6309.0,Flood,Tony Mitchell,0.0,min revenue
6393.0,Taking Care of Business,Arthur Hiller,0.0,min revenue
6404.0,Nosferatu: Phantom der Nacht,Werner Herzog,0.0,min revenue
6418.0,Hotel Chevalier,Wes Anderson,0.0,min revenue
6440.0,The Shipping News,Lasse HallstrÃ¶m,0.0,min revenue
6463.0,Other People's Money,Norman Jewison,0.0,min revenue
6470.0,Fire Birds,David Green,0.0,min revenue
6472.0,Guarding Tess,Hugh Wilson,0.0,min revenue
6473.0,The Marksman,Marcus Adams,0.0,min revenue
6478.0,Beyond the Sea,Kevin Spacey,0.0,min revenue
6521.0,The Contender,Rod Lurie,0.0,min revenue
6524.0,Life Stinks,Mel Brooks,0.0,min revenue
6589.0,Underdog,Frederik Du Chau,0.0,min revenue
6623.0,The Peacemaker,Mimi Leder,0.0,min revenue
6641.0,Love and Other Disasters,Alek Keshishian,0.0,min revenue
6643.0,The Unforgiven,John Huston,0.0,min revenue
6715.0,The Cure,Peter Horton,0.0,min revenue
6723.0,The Rookie,Clint Eastwood,0.0,min revenue
6878.0,Homeward Bound: The Incredible Journey,Duwayne Dunham,0.0,min revenue
6883.0,Two-Minute Warning,Larry Peerce,0.0,min revenue
6917.0,The Gate,Tibor TakÃ¡cs,0.0,min revenue
6933.0,One Missed Call,Eric Valette,0.0,min revenue
6935.0,Yamakasi - Les samouraÃ¯s des temps modernes,Ariel Zeitoun|Julien Seri,0.0,min revenue
6948.0,The Woods,Lucky McKee,0.0,min revenue
6949.0,"What's Up, Doc?",Peter Bogdanovich,0.0,min revenue
6967.0,Die weisse Massai,Hermine Huntgeburth,0.0,min revenue
7006.0,White Noise 2: The Light,Patrick Lussier,0.0,min revenue
7007.0,Rising Sun,Philip Kaufman,0.0,min revenue
7010.0,The Wild Geese,Andrew V. McLaglen,0.0,min revenue
7012.0,The Day After,Nicholas Meyer,0.0,min revenue
7092.0,Van Helsing: The London Assignment,Sharon Bridgeman,0.0,min revenue
7093.0,Vatel,Roland JoffÃ©,0.0,min revenue
7096.0,Merlin,Steve Barron,0.0,min revenue
7182.0,Venom,Jim Gillespie,0.0,min revenue
7229.0,Tais-toi !,Francis Veber,0.0,min revenue
7249.0,Futurama: Bender's Big Score,Dwayne Carey-Hill,0.0,min revenue
7290.0,2001: A Space Travesty,Allan A. Goldstein,0.0,min revenue
7295.0,8MM 2,J.S. Cardone,0.0,min revenue
7342.0,Carrie,David Carson,0.0,min revenue
7348.0,Robinson Crusoe on Mars,Byron Haskin,0.0,min revenue
7353.0,Fireflies in the Garden,Dennis Lee,0.0,min revenue
7452.0,"The Cook, the Thief, His Wife & Her Lover",Peter Greenaway,0.0,min revenue
7511.0,The Last Kiss,Tony Goldwyn,0.0,min revenue
7515.0,London,Hunter Richards,0.0,min revenue
7548.0,The Libertine,Laurence Dunmore,0.0,min revenue
7797.0,Youth Without Youth,Francis Ford Coppola,0.0,min revenue
7839.0,Wedding Daze,Michael Ian Black,0.0,min revenue
7859.0,Half Nelson,Ryan Fleck,0.0,min revenue
7861.0,Outsourced,John Jeffcoat,0.0,min revenue
7862.0,Die FÃ¤lscher,Stefan Ruzowitzky,0.0,min revenue
7863.0,Shine,Scott Hicks,0.0,min revenue
7872.0,The Road to Guantanamo,Mat Whitecross|Michael Winterbottom,0.0,min revenue
7916.0,Far Cry,Uwe Boll,0.0,min revenue
7944.0,Shine a Light,Martin Scorsese,0.0,min revenue
7978.0,The Wolfman,Joe Johnston,0.0,min revenue
7985.0,Penelope,Mark Palansky,0.0,min revenue
7992.0,It's a Free World...,Ken Loach,0.0,min revenue
8008.0,Mouth to Mouth,Alison Murray,0.0,min revenue
8043.0,Breakheart Pass,Tom Gries,0.0,min revenue
8055.0,The Reader,Stephen Daldry,0.0,min revenue
8060.0,Married Life,Ira Sachs,0.0,min revenue
8064.0,Chiko,Ã–zgÃ¼r Yildirim,0.0,min revenue
8067.0,A Life Less Ordinary,Danny Boyle,0.0,min revenue
8069.0,Barbarella,Roger Vadim,0.0,min revenue
8129.0,My Name Is Joe,Ken Loach,0.0,min revenue
8216.0,Meet the Feebles,Peter Jackson,0.0,min revenue
8217.0,Alice,Woody Allen,0.0,min revenue
8266.0,Les Femmes de l'ombre,Jean-Paul SalomÃ©|Serge Boutleroff,0.0,min revenue
8272.0,The Savages,Tamara Jenkins,0.0,min revenue
8274.0,American Pie Presents: Band Camp,Steve Rash,0.0,min revenue
8275.0,American Pie Presents: The Naked Mile,Joe Nussbaum,0.0,min revenue
8277.0,American Pie Presents: Beta House,Andrew Waller,0.0,min revenue
8281.0,J'ai toujours rÃªvÃ© d'Ãªtre un gangster,Samuel Benchetrit,0.0,min revenue
8282.0,L'Heure d'Ã©tÃ©,Olivier Assayas,0.0,min revenue
8284.0,The Limits of Control,Jim Jarmusch,0.0,min revenue
8288.0,A Midsummer Night's Sex Comedy,Woody Allen,0.0,min revenue
8316.0,The Countess,Julie Delpy,0.0,min revenue
8319.0,Chapter 27,J.P. Schaefer,0.0,min revenue
8324.0,Fast Food Nation,Richard Linklater,0.0,min revenue
8325.0,Tiptoes,Matthew Bright,0.0,min revenue
8326.0,Holes,Andrew Davis,0.0,min revenue
8327.0,The Holy Mountain,Alejandro Jodorowsky,0.0,min revenue
8332.0,AntikÃ¶rper,Christian Alvart,0.0,min revenue
8333.0,The Taking of Pelham One Two Three,Joseph Sargent,0.0,min revenue
